HEEL ABS (89)	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
																					
TWA ABS(16)																					
0	6.3	8.9	11.5	14.3	17.0	19.1	21.2	22.1	23.0	23.4	23.8	23.9	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
30	6.3	8.9	11.5	14.3	17.0	19.1	21.2	22.1	23.0	23.4	23.8	23.9	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
60	6.3	8.9	11.5	14.3	17.0	19.1	21.2	22.1	23.0	23.4	23.8	23.9	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
120	4.4	5.2	6.0	6.5	7.0	7.2	7.3	7.8	8.2	8.9	9.5	10.7	11.8	12.8	13.8	14.3	14.7	14.9	15.0	15.0	15.0
180	4.4	5.2	6.0	6.5	7.0	7.2	7.3	7.8	8.2	8.9	9.5	10.7	11.8	12.8	13.8	14.3	14.7	14.9	15.0	15.0	15.0
